"","Accession","Latitude","Longitude","offset_5","offset_6","offset_7","offset_8","offset_9","offset_10","offset_11","offset_12","offset_13","offset_14","offset_15","offset_16","offset_17","offset_18","offset_19","offset_20","offset_21"
"11","IS1182",25.57999992,85.25,0.112418566185595,0.210747919880637,0.24202764063721,0.130064596699191,0.116167040814082,0.082761888154484,0.0785823413289564,0.0364770810564264,0.0188313103423127,0.0183498125152983,0.0242143138972089,0.0128558072901133,0.0242807646707221,0.0236214634381678,0.0248862275568227,0.0552011898301572,0.04723518713505
"12","IS1186",12.93000031,79.12999725,0.02935265919623,0.0117303465794741,0.0251114978320772,0.0193120402419455,0.0187385209435767,0.0106135224771134,0.00768738948371448,0.00850794903668526,0.00715607183202219,0.00331382331175402,0.0195971971654247,0.0133966811850134,0.0241800805012304,0.0242182935379894,0.0259198515346151,0.0253378124925798,0.0268436531690961
"13","IS1187",16.70999908,81.11000061,0.061656507750111,0.0256858470279181,0.0267251162785697,0.0251184757171176,0.0145898265797596,0.0107146217283419,0.0109017822864578,0.0160783841498391,0.00511704184266188,0.00677244729847395,0.00690573339109348,0.00496383737400297,0.0166399372135146,0.016549942126385,0.020669133697664,0.0207185874128728,0.0240952996265874
"14","IS12031",7.15,40.71667,0.0283622764649134,0.0710044036904305,0.113754689873254,0.100582583941262,0.134915248209886,0.126752104925924,0.134829545557011,0.066426465315767,0.0224464029034508,0.0174083988128762,0.0216564757660636,0.021939365137088,0.020669536826631,0.0194203774675519,0.0173307608416848,0.0173766476800727,0.0182777070549072
"15","IS12106",7.480000019,45.15999985,0.051429139548169,0.0463107320622571,0.0338409734030989,0.0357704826444217,0.0283430709868908,0.0346653227411898,0.0240288476474317,0.0146361428454855,0.012820010613392,0.0341763422442062,0.0132646448136834,0.0106850229244776,0.0423031671751649,0.0101994820756883,0.0133728991208909,0.0172864221077636,0.0104287639299505
"16","IS1236",10.60000038,78.41000366,0.00740800226672877,0.0138715271489987,0.0341049655725488,0.0298266695647862,0.0113387624233851,0.00958852318413186,0.00776876804273059,0.0116516493669121,0.0039413197066773,0.00506867909213215,0.0176707894308661,0.00242142384067584,0.00366803358863966,0.00238426408662475,0.00343153533799935,0.0150559855728391,0.0258043975398952
"17","IS1240",12.14999962,77.11000061,0.0508965798664159,0.0185742228508614,0.0263483709789017,0.0251430683622012,0.0316342370946166,0.0112190550086615,0.00836836413454026,0.0224911969471366,0.0120542032252363,0.00902796300689834,0.0166131626318132,0.0120170393913868,0.0151880616749654,0.0208212676362838,0.0229373447185763,0.0236163188793867,0.0239581170901536
"18","IS1243",9.170000076,77.86000061,0.0118922646696957,0.00982832177344371,0.0126909440638848,0.018033249353374,0.0118032864190085,0.00951815708191264,0.00946441242926715,0.0157834057987371,0.00711768365583572,0.0119004887670975,0.00688682849486704,0.0091087356558105,0.0137899639540698,0.0101953110470165,0.0132385315148741,0.0132193385538361,0.0181727431886604
"19","IS1246",9.800000191,78.11000061,0.00740800226672877,0.0138715271489987,0.0341049655725488,0.0298266695647862,0.0113387624233851,0.00958852318413186,0.00776876804273059,0.0116516493669121,0.0039413197066773,0.00506867909213215,0.0176707894308661,0.00242142384067584,0.00366803358863966,0.00238426408662475,0.00343153533799935,0.0150559855728391,0.0258043975398952
"20","IS1257",9.319999695,78.34999847,0.0118922646696957,0.00982832177344371,0.0126909440638848,0.018033249353374,0.0118032864190085,0.00951815708191264,0.00946441242926715,0.0157834057987371,0.00711768365583572,0.0119004887670975,0.00688682849486704,0.0091087356558105,0.0137899639540698,0.0101953110470165,0.0132385315148741,0.0132193385538361,0.0181727431886604
