"","Accession","Latitude","Longitude","offset_6","offset_7","offset_8","offset_9","offset_10","offset_11","offset_12","offset_13","offset_14","offset_15","offset_16","offset_17","offset_18","offset_19","offset_20","offset_21"
"177","HOR10627",34.83,42,0.0602269680763505,0.0575846895818211,0.0547038923298627,0.0456994263083741,0.0434996271274667,0.0283758933908922,0.0303718225033036,0.0393633127485632,0.0394671802663322,0.0574881510254151,0.0524721715690951,0.0149279221761126,0.008188566689721,0.0127117588185879,0.0148527676510747,0.0201333991836829
"178","FT741",37.68,41.45,0.0561865218121394,0.0555604061145973,0.0512008605170851,0.0480777121702239,0.0469259442309069,0.0305197808893712,0.0226927746868821,0.0300829827414195,0.0301232397717567,0.0211157637093537,0.0129688975835043,0.0274608153936425,0.0194647463118073,0.0107131155411008,0.00991975001986448,0.019484733749746
"179","FT671",33.83,35.92,0.0432957199917976,0.043234316122175,0.0354425779587309,0.0315494607857969,0.023739668025633,0.0242412719613892,0.0211286759163156,0.018082418926467,0.0143252576172655,0.0186375910301015,0.0178662646453716,0.0101896887242985,0.0112445533292807,0.012477237959651,0.015553769146512,0.013273028691403
"180","FT734",37.41,38.78,0.0556747093460866,0.053178874534584,0.0548051798007379,0.0429014310499692,0.0387794731552112,0.0253790794340974,0.0314262779629322,0.0403748745968917,0.0177288530831641,0.03795086141655,0.0143857397666331,0.0275040650126133,0.00965273863347757,0.00719004865566533,0.00833302700503975,0.00777884210263897
"181","FT746",36.98,36.73,0.0511884892590748,0.0479262143873521,0.0465585118369493,0.0397984226195489,0.0363773285672269,0.0247575977182891,0.0178832972298581,0.0365715273953394,0.0166856775187391,0.0271591561881441,0.017902406369622,0.0104573996355877,0.0122490351222801,0.0145889391178914,0.00656171724726522,0.00827754676804201
"182","FT747",36.87,36.95,0.0511884892590748,0.0479262143873521,0.0465585118369493,0.0397984226195489,0.0363773285672269,0.0247575977182891,0.0178832972298581,0.0365715273953394,0.0166856775187391,0.0271591561881441,0.017902406369622,0.0104573996355877,0.0122490351222801,0.0145889391178914,0.00656171724726522,0.00827754676804201
"183","FT248",31.68,48.58,0.0565851193969331,0.0512970149556948,0.0556384416703814,0.0459342745740769,0.0467760072676817,0.0377194587056466,0.038565209053732,0.0535353756972061,0.0280301036119983,0.0377900463586064,0.0592709790438326,0.0293363750468338,0.0275358247895916,0.0354990085942711,0.0427642710665318,0.0474221253523289
"184","FT389",30.97,101.15,0.0456929301785955,0.0459580431984263,0.0450300848634319,0.0437803129141465,0.0426266254443637,0.0462282662755574,0.0433223897610359,0.0393012291107151,0.0372584919840427,0.0306640607407456,0.0273398989615094,0.0353938502932373,0.0358315234900725,0.0356586575753714,0.0318144973612297,0.0344414706909153
"185","FT222",32.97,35.42,0.0432957199917976,0.043234316122175,0.0354425779587309,0.0315494607857969,0.023739668025633,0.0242412719613892,0.0211286759163156,0.018082418926467,0.0143252576172655,0.0186375910301015,0.0178662646453716,0.0101896887242985,0.0112445533292807,0.012477237959651,0.015553769146512,0.013273028691403
"186","HOR2351",34.77,113.65,0.0344805203181122,0.0419990234357447,0.0447489039686052,0.031161618593276,0.0308704315436701,0.0267927437283369,0.0156008659908044,0.0105558918892476,0.0139130383511182,0.00601560931769279,0.00504924224865428,0.00686732358573476,0.00719381571576551,0.00493220768828293,0.00806643876507726,0.00421304109314077
"187","SBCC002",42.85,-2.67,0.0299311195404166,0.0286579802599084,0.0296189876784214,0.0290138011627314,0.0263889791000979,0.0242036174902133,0.0208587450132719,0.0210224416213861,0.0342310171549834,0.00728277750114975,0.0173961767108903,0.0163361905993215,0.0232022865369866,0.0115139557339877,0.0327053968275029,0.0260308565058176
"188","SBCC144",28.8,-17.81,0.0245629467249983,0.0251227569877289,0.025869153822643,0.0325363760380737,0.0250737783699394,0.0279050316503523,0.0161276898004589,0.0122283817636562,0.00650015633431387,0.00546985916151096,0.00560507507855143,0.00668242029839424,0.00439842589633734,0.00422679030693132,0.00499718862486309,0.00345365512525747
"189","HOR154",31.42,73.08,0.038940294306236,0.0385594027587261,0.0314385940691978,0.0225790532157445,0.0314337146480182,0.0239420359825377,0.0537917232643427,0.0434536624506398,0.0112316104455346,0.015158698997513,0.0106529014107356,0.007021062555881,0.00555487011821977,0.00947587366403283,0.00187632661176003,0.00951940150127377
"190","BCC169",25.67,57.25,0.0207080537737493,0.0233046854364899,0.0232838530698983,0.0232114597571381,0.0197903446262445,0.0189700945486496,0.0338895490574984,0.0201625646231633,0.0184316507170797,0.0151920694575445,0.0222904511404916,0.0185904572757421,0.0250528664199271,0.0382081614845872,0.0190316565042321,0.0461846644448392
"191","HOR11317",31.72,35.19,0.0415249860040425,0.0403868361606833,0.0395037785036205,0.0308104239240404,0.0258610613062993,0.0200760380702151,0.0162392816041571,0.0114789310266648,0.00952016317787444,0.0114209322593938,0.0101759441694611,0.00686989389271744,0.0043069700206044,0.00644850113146772,0.00375674794418494,0.00734397719395041
"192","SBCC158",41.98,1.52,0.0256812960810854,0.0294487832631713,0.0312319498517715,0.0311572518595589,0.0256781062080908,0.0269136950698442,0.0225143144701343,0.0126613933113657,0.0156993972364562,0.025109441974025,0.0147331800361487,0.0122455845898036,0.0147886126239341,0.0247345043353779,0.00966748817603905,0.0128023753566668
"193","SBCC095",40.98,-6.85,0.0286505079832092,0.0273534562687593,0.0287937869254775,0.0277371119133553,0.0245361869293983,0.0209302435597402,0.0219204441978678,0.027578218408536,0.0118476726478133,0.0104516865297778,0.0231652260504059,0.0129969514480491,0.015668456308484,0.00770249477684987,0.0233758312985983,0.00931880931987929
"194","SBCC147",43.07,-4.77,0.0274398302952893,0.0256215054626907,0.0265253411358493,0.024979587044381,0.0208671027771588,0.0216148290305164,0.0142272311186221,0.0218579765990027,0.0234005276559491,0.00717894409392808,0.0126111328873416,0.0111884253408642,0.0176005787258207,0.00997319333228468,0.0183955637616939,0.0137671306670862
"195","BCC54",30.82,32.52,0.0400382367635201,0.0433626444127935,0.0351855353780462,0.0296025955226062,0.025633170499524,0.0234477420907051,0.0197311083653541,0.0178691001521923,0.0119400468350177,0.0137680102273062,0.00934328123237665,0.00593652017781943,0.00475030894039953,0.00469503522254964,0.0040017324449546,0.00596955008601367
