"","Accession","Latitude","Longitude","offset_1","offset_2","offset_3","offset_4","offset_5","offset_6","offset_7","offset_8","offset_9","offset_10","offset_11","offset_12","offset_13","offset_14","offset_15","offset_16","offset_17","offset_18","offset_19","offset_20","offset_21"
"236","IRIS_313-12272",9.46917,118.28972,0.00895365963579378,0.0157889479852389,0.0105116083160061,0.0158575215665528,0.0106721231412014,0.0109537659917914,0.00314733749939861,0.00943394995252277,0.00669646467148575,0.016243228955634,0.0158262644502128,0.00660623074767601,0.0150013943880146,0.0137847677603201,0.00763720230158903,0.00978316108735738,0.00991964179483605,0.00843199694021901,0.00969509493677447,0.016137768825336,0.00630604617250748
"237","IRIS_313-12285",2.03028,109.6425,0.0108673925652735,0.00653741849048574,0.00661335896896512,0.00788876420937794,0.00272004762900122,0.00837192741220315,0.00507823758681167,0.0080101135140597,0.00970524690008167,0.0063222834053546,0.00914983516476436,0.00302197134777778,0.0069923211507752,0.00525802601121907,0.00638221476647018,0.00716320163127413,0.00791421154925449,0.00778726553425025,0.0232524542551105,0.00656809292848368,0.00602802516919379
"238","IRIS_313-12289",19.51083,97.36167,0.0118061102197765,0.00840138978308203,0.0236399606654066,0.00276705016420219,0.028707597663738,0.0247855280840753,0.0070080797252045,0.0144890214660874,0.0131920673509418,0.0121935904401683,0.0052996438580153,0.0125614149449893,0.01018673348924,0.00653407679459598,0.0122962392931278,0.0144779082207474,0.0117539470060264,0.00821252801213324,0.0135724715800344,0.0122437259709796,0.0125323583217936
"239","IRIS_313-12299",16.99361,105.01472,0.0132825572686802,0.0139058904235584,0.0162461551298789,0.0125963189108324,0.00463348111637169,0.0254420064771063,0.00619555752084886,0.00782566940464545,0.0127913406234326,0.0062335903871505,0.0108398460952153,0.0129083307192881,0.00892876656783266,0.021649197515375,0.00682192766206732,0.032424675352601,0.0124814036707157,0.0127594968832729,0.0135368111510064,0.00323752432164707,0.0133750530437785
"240","IRIS_313-12307",20.55,102.38389,0.0211902183270499,0.0139318563097647,0.0185008632091635,0.023201957629271,0.00869206916995185,0.0108776813486197,0.0045531658606951,0.00754481268640377,0.0190031893915291,0.00476569879007821,0.00634218834023698,0.0209808460121901,0.00759631126266051,0.0255115294344706,0.00467921925896869,0.0190113121248687,0.00560729003155213,0.0187602182767006,0.0150294753991819,0.0162680865418575,0.00801449296756804
"241","IRIS_313-12311",21.49333,101.83,0.0214926557848714,0.0131138686441493,0.0180007851707054,0.016385766821465,0.00709935477385561,0.0123244379519511,0.0055213193429727,0.00637833165364415,0.0137828895764255,0.00314968400089509,0.00624744135635249,0.00618409699830156,0.0047997489274854,0.016011829739438,0.00375365069974813,0.00864385301192201,0.00679362773613545,0.0179852057963289,0.0142854172295105,0.00908153064910841,0.00423185625890269
"242","IRIS_313-12312",19.91944,101.15917,0.0104583413573482,0.0144897828445517,0.00770801462555868,0.0114584257814022,0.0261651280462322,0.0137513017980753,0.00477677829061934,0.00420454301670904,0.0113970184006856,0.0118746522890339,0.011665608551881,0.0117224753019101,0.00422896850291128,0.00352900038604568,0.0116848640626996,0.0192671971893891,0.0114950161505724,0.00710791310485687,0.0152440792199908,0.0119525114613635,0.0124042900702598
"243","IRIS_313-12313",19.76361,100.53333,0.0104583413573482,0.0144897828445517,0.00770801462555868,0.0114584257814022,0.0261651280462322,0.0137513017980753,0.00477677829061934,0.00420454301670904,0.0113970184006856,0.0118746522890339,0.011665608551881,0.0117224753019101,0.00422896850291128,0.00352900038604568,0.0116848640626996,0.0192671971893891,0.0114950161505724,0.00710791310485687,0.0152440792199908,0.0119525114613635,0.0124042900702598
"244","IRIS_313-12321",15.44028,106.50611,0.00993719890102951,0.0130006279338347,0.0111608606665379,0.0110144081764293,0.0249036818804134,0.0293217242731487,0.00436436734335159,0.0150081327652366,0.0161817483055363,0.017275458775826,0.00442062784339277,0.0161383638608637,0.01784651506791,0.00429936110474119,0.00339334013708388,0.0115225283674915,0.0114950293218983,0.0132365694135163,0.015589274512529,0.0285656323308289,0.00927040894830588
"245","IRIS_313-12332",20.50389,101.41278,0.0211902183270499,0.0139318563097647,0.0185008632091635,0.023201957629271,0.00869206916995185,0.0108776813486197,0.0045531658606951,0.00754481268640377,0.0190031893915291,0.00476569879007821,0.00634218834023698,0.0209808460121901,0.00759631126266051,0.0255115294344706,0.00467921925896869,0.0190113121248687,0.00560729003155213,0.0187602182767006,0.0150294753991819,0.0162680865418575,0.00801449296756804
