"","Accession","Latitude","Longitude","offset_5","offset_6","offset_7","offset_8","offset_9","offset_10","offset_11","offset_12","offset_13","offset_14","offset_15","offset_16","offset_17","offset_18","offset_19","offset_20","offset_21"
"134","IRIS_313-10866",27.63333,93.83306,0.144808588962923,0.218572976256823,0.158529816870348,0.164328824141984,0.16821206254268,0.130836062706682,0.0924519254270416,0.0903119894277465,0.120356268503903,0.0918709489013617,0.0920005402738845,0.103766499024939,0.0290838004734326,0.0092908384606088,0.0265950645016186,0.0320522784120312,0.0134492110035627
"135","IRIS_313-10867",28.16667,94.76667,0.144808588962923,0.218572976256823,0.158529816870348,0.164328824141984,0.16821206254268,0.130836062706682,0.0924519254270416,0.0903119894277465,0.120356268503903,0.0918709489013617,0.0920005402738845,0.103766499024939,0.0290838004734326,0.0092908384606088,0.0265950645016186,0.0320522784120312,0.0134492110035627
"136","IRIS_313-10870",27.91667,96.16667,0.144808588962923,0.218572976256823,0.158529816870348,0.164328824141984,0.16821206254268,0.130836062706682,0.0924519254270416,0.0903119894277465,0.120356268503903,0.0918709489013617,0.0920005402738845,0.103766499024939,0.0290838004734326,0.0092908384606088,0.0265950645016186,0.0320522784120312,0.0134492110035627
"137","IRIS_313-10916",13.1,103.2,0.0252293522190922,0.061628821443398,0.109561014149571,0.0737788078710034,0.0397503835668505,0.0566215464073016,0.0261066279468535,0.0125090283900918,0.0064141163093974,0.00455230474918241,0.0109628425878082,0.0133986770683069,0.00955766911300205,0.00926855642044986,0.0106165001763579,0.0070858046818895,0.0116796839581241
"138","IRIS_313-10918",17.2,120.75,0.0398577596153882,0.051336404696981,0.0599130256719383,0.0826419408857611,0.0978000567453426,0.0627519371768471,0.0354488206957491,0.0278154921107322,0.00826023362390224,0.0183531265143693,0.0200678033255107,0.0198016696566736,0.0132451752631787,0.0189867577599929,0.0134136398665802,0.0201884329546493,0.0178359871374585
"139","IRIS_313-10919",17.2,120.75,0.0398577596153882,0.051336404696981,0.0599130256719383,0.0826419408857611,0.0978000567453426,0.0627519371768471,0.0354488206957491,0.0278154921107322,0.00826023362390224,0.0183531265143693,0.0200678033255107,0.0198016696566736,0.0132451752631787,0.0189867577599929,0.0134136398665802,0.0201884329546493,0.0178359871374585
"140","IRIS_313-10920",17.2,120.75,0.0398577596153882,0.051336404696981,0.0599130256719383,0.0826419408857611,0.0978000567453426,0.0627519371768471,0.0354488206957491,0.0278154921107322,0.00826023362390224,0.0183531265143693,0.0200678033255107,0.0198016696566736,0.0132451752631787,0.0189867577599929,0.0134136398665802,0.0201884329546493,0.0178359871374585
"141","IRIS_313-10923",13.03944,101.49194,0.0252293522190922,0.061628821443398,0.109561014149571,0.0737788078710034,0.0397503835668505,0.0566215464073016,0.0261066279468535,0.0125090283900918,0.0064141163093974,0.00455230474918241,0.0109628425878082,0.0133986770683069,0.00955766911300205,0.00926855642044986,0.0106165001763579,0.0070858046818895,0.0116796839581241
"142","IRIS_313-10931",16.505,120.63083,0.0346932307557864,0.0479249799581251,0.0455916844182265,0.0951300466390122,0.0757955298229283,0.0407631633464537,0.0259466094633235,0.0184716819531113,0.0060954194595275,0.00888005201441985,0.0122347445542332,0.0134266829052539,0.0176400433063049,0.0134106227154529,0.00546012484877364,0.0149559053864786,0.0134153496501393
"143","IRIS_313-10936",-3.29472,104.14194,0.0252823181600836,0.0808934894760934,0.062396216266038,0.0630827489948958,0.0421388447067298,0.0363761565348435,0.0231766163756405,0.0118162336765732,0.0103101865250683,0.0214197010661864,0.00225044128380013,0.00238692992285031,0.00206712156400674,0.00255518861109465,0.00137673437504837,0.00846084567029607,0.0205439825770177
"144","IRIS_313-10945",-2.69056,119.02583,0.0236717759943748,0.0347137207639089,0.0687482719165785,0.0647103423999256,0.051598357443525,0.0430754775310596,0.0547850182429873,0.0299816530358979,0.0220094016702431,0.0207257691105519,0.00959610141430611,0.00207259290684051,0.00450800096704488,0.0029667516386761,0.0158037025431177,0.00737208410098888,0.0207374168758538
"145","IRIS_313-10946",-2.69056,119.02583,0.0236717759943748,0.0347137207639089,0.0687482719165785,0.0647103423999256,0.051598357443525,0.0430754775310596,0.0547850182429873,0.0299816530358979,0.0220094016702431,0.0207257691105519,0.00959610141430611,0.00207259290684051,0.00450800096704488,0.0029667516386761,0.0158037025431177,0.00737208410098888,0.0207374168758538
"146","IRIS_313-10950",-2.69056,119.02583,0.0236717759644019,0.0347137207434699,0.0686400064936491,0.0647103423889611,0.0515194133587728,0.0429173734407647,0.054749199294682,0.0296070224584185,0.0220094016380063,0.0207257690763186,0.0095961013403686,0.00207259256450992,0.00450800080965541,0.00296675139952162,0.0158037024982224,0.00737208400474583,0.0207374168416397
"147","IRIS_313-10952",-3.29472,104.14194,0.0252823181600836,0.0808934894760934,0.062396216266038,0.0630827489948958,0.0421388447067298,0.0363761565348435,0.0231766163756405,0.0118162336765732,0.0103101865250683,0.0214197010661864,0.00225044128380013,0.00238692992285031,0.00206712156400674,0.00255518861109465,0.00137673437504837,0.00846084567029607,0.0205439825770177
"148","IRIS_313-10953",-4.06639,103.86639,0.0245340359395426,0.0368613342280773,0.0674538980111364,0.0686182645800327,0.037409961988141,0.0349479539196159,0.0242855375648872,0.00848784403882635,0.00515487722588585,0.0144031620377542,0.00254244944850183,0.00432537457773092,0.00193769541956476,0.00192835094597152,0.00282411004598335,0.00748928642616084,0.00205261933347849
"149","IRIS_313-10956",1.83278,98.75694,0.0261240441912037,0.0443251191636313,0.12830228273468,0.0527595981731731,0.0610709807521898,0.031780474500394,0.0282847148058119,0.00840365018665521,0.0220818744953559,0.00963003696787258,0.00217649212240493,0.00297554139904888,0.00529495870655174,0.00423025563897545,0.00259538256019326,0.00692657070622127,0.00297905474257435
"150","IRIS_313-10957",-3.29472,104.14194,0.0252823181600836,0.0808934894760934,0.062396216266038,0.0630827489948958,0.0421388447067298,0.0363761565348435,0.0231766163756405,0.0118162336765732,0.0103101865250683,0.0214197010661864,0.00225044128380013,0.00238692992285031,0.00206712156400674,0.00255518861109465,0.00137673437504837,0.00846084567029607,0.0205439825770177
