Accession,Latitude,Longitude,Species
FT592,37.07,41.09,Barley
FT632,37.08,42.07,Barley
FT582,37.09,42.1,Barley
FT252,37.25,44.48,Barley
FT748,37.32,37.73,Barley
FT730,37.33,37.27,Barley
FT470,37.33,40.77,Barley
FT554,37.33,68.67,Barley
FT734,37.41,38.78,Barley
FT731,37.42,37.28,Barley
SBCC014,37.53,-5.07,Barley
FT469,37.55,39.7,Barley
FT539,37.57,44.28,Barley
HOR8842,37.57,-6.75,Barley
HOR10551,37.58,13.75,Barley
HOR2777,37.63,47.8,Barley
HOR2867,37.63,58.98,Barley
FT473,37.66,37.79,Barley
HOR713,37.67,22.18,Barley
FT741,37.68,41.45,Barley
FT462,37.78,39.78,Barley
FT735,37.79,39.96,Barley
BCC1589,37.93,12.73,Barley
BCC1503,37.94,58.38,Barley
FT581,37.97,41.72,Barley
HOR7969,38,37,Barley
FT875,38.08,67.44,Barley
HOR12762,38.28,67.9,Barley
HOR1192,38.29,29.01,Barley
FT873,38.31,66.63,Barley
FT886,38.34,69.24,Barley
FT566,38.42,56.68,Barley
FT661,38.5,47.2,Barley
FT885,38.62,68.61,Barley
HOR2854,38.65,46.78,Barley
HOR752,39.07,21.82,Barley
HOR937,39.07,21.82,Barley
FT555,39.18,41.17,Barley
HOR8113,39.25,29.5,Barley
FT524,39.5,126.4,Barley
FT871,40.07,67.69,Barley
HOR4724,40.18,44.52,Barley
SBCC003,40.63,-3.15,Barley
FT578,40.65,43.1,Barley
HOR454,40.65,27.92,Barley
HOR756,40.79,20.19,Barley
SBCC095,40.98,-6.85,Barley
FT567,41.05,61.88,Barley
HOR902,41.29,36.33,Barley
FT523,41.6,60.15,Barley
HOR10782,41.9,13.88,Barley
SBCC158,41.98,1.52,Barley
HOR758,42,21.45,Barley
HOR10705,42.18,44.73,Barley
HOR9607,42.3,43.35,Barley
HOR396,42.31,27.77,Barley
FT521,42.73,2.68,Barley
FT520,42.82,75.28,Barley
SBCC002,42.85,-2.67,Barley
BCC1487,42.98,47.5,Barley
HOR10360,43.05,42.72,Barley
SBCC147,43.07,-4.77,Barley
HOR383,43.85,25.96,Barley
HOR742,43.87,18.42,Barley
HOR9919,45.43,6.31,Barley
HOR1133,46.22,2.21,Barley
FT411,46.31,7.85,Barley
HOR9453,46.78,23.6,Barley
HOR3950,47.01,13.17,Barley
HOR3959,47.27,12.64,Barley
HOR354,47.98,9.12,Barley
HOR8635,48.53,22.14,Barley
HOR7436,49.36,18.89,Barley
HOR8826,49.42,20.96,Barley
HOR7380,49.52,18.83,Barley
HOR8827,49.63,20.6,Barley
HOR203,50.1,36.49,Barley
BCC1494,50.3,57.18,Barley
BCC1488,51,142.64,Barley
HOR10410,52.41,21.33,Barley
HOR4720,56.65,23.71,Barley
BCC1481,61.78,34.35,Barley
SEEDGWAS4271,-38.16666667,-62.38333333,Maize
SEEDGWAS3987,-38.1,-62.23333333,Maize
SEEDGWAS3295,-38.1,-62.23333333,Maize
SEEDGWAS2252,-38.1,-62.23333333,Maize
SEEDGWAS3337,-38.1,-62.23333333,Maize
SEEDGWAS4239,-37.8,-72.71666667,Maize
SEEDGWAS3346,-37.47,-61.92,Maize
SEEDGWAS2251,-37.46666667,-61.91666667,Maize
SEEDGWAS1026,-35.96666667,-62.7,Maize
SEEDGWAS4033,-35.889091,-64.301435,Maize
SEEDGWAS3277,-35.713855,-63.644619,Maize
SEEDGWAS4627,-35.58333333,-71.75,Maize
SEEDGWAS3270,-35.56666667,-64.56666667,Maize
SEEDGWAS3268,-34.96666667,-67.65,Maize
SEEDGWAS3276,-34.96666667,-67.65,Maize
SEEDGWAS1848,-34.644305,-56.634113,Maize
SEEDGWAS1914,-34.341302,-57.277897,Maize
SEEDGWAS994,-34.2,-60.73333333,Maize
SEEDGWAS995,-34.1,-60.4,Maize
SEEDGWAS991,-34.024495,-60.15574,Maize
SEEDGWAS3198,-33.931798,-57.465967,Maize
SEEDGWAS3267,-33.78333333,-69.05,Maize
SEEDGWAS2197,-33.78333333,-69.05,Maize
SEEDGWAS2269,-33.77,-69.03,Maize
SEEDGWAS943,-33.677286,-59.712428,Maize
SEEDGWAS942,-33.56666667,-59.98333333,Maize
SEEDGWAS997,-33.56666667,-59.98333333,Maize
SEEDGWAS4151,-33.560272,-69.030146,Maize
SEEDGWAS3556,-33.55,-58.21666667,Maize
SEEDGWAS5262,-33.494989,-58.255224,Maize
SEEDGWAS3264,-33.26666667,-68.15,Maize
SEEDGWAS3341,-33.25,-66.36666667,Maize
SEEDGWAS3351,-33.245429,-66.166014,Maize
SEEDGWAS3265,-33.21666667,-68.88333333,Maize
SEEDGWAS2172,-33.21666667,-68.88333333,Maize
SEEDGWAS3286,-33.2,-70.68333333,Maize
SEEDGWAS2270,-33.16666667,-66.61666667,Maize
SEEDGWAS4844,-33.16666667,-66.61666667,Maize
SEEDGWAS3342,-33.1,-66.36666667,Maize
SEEDGWAS2271,-32.95,-66.43,Maize
SEEDGWAS4845,-32.95,-66.43,Maize
SEEDGWAS3592,-32.777781,-57.461415,Maize
SEEDGWAS4128,-32.75459,-57.876048,Maize
SEEDGWAS3454,-32.68333333,-58.13333333,Maize
SEEDGWAS3606,-32.68333333,-69.36666667,Maize
SEEDGWAS3610,-32.601893,-69.345985,Maize
SEEDGWAS3269,-32.55,-66.28333333,Maize
SEEDGWAS4032,-32.423574,-65.014654,Maize
SEEDGWAS1580,-32.310879,-59.692253,Maize
SEEDGWAS2429,-32.087201,-54.048978,Maize
SEEDGWAS3462,-32.087201,-54.048978,Maize
SEEDGWAS3350,-31.98,-64.67,Maize
SEEDGWAS4110,-31.886528,-55.961115,Maize
SEEDGWAS3995,-31.76666667,-52.33333333,Maize
SEEDGWAS1906,-31.75,-52.38333333,Maize
SEEDGWAS2267,-31.635529,-64.410852,Maize
SEEDGWAS2268,-31.635529,-64.410852,Maize
SEEDGWAS3339,-31.497368,-66.710938,Maize
SEEDGWAS3854,-31.494769,-53.340291,Maize
SEEDGWAS517,-31.485417,-59.227485,Maize
SEEDGWAS2264,-31.45052,-66.382503,Maize
SEEDGWAS4841,-31.45052,-66.382503,Maize
SEEDGWAS5232,-31.239218,-55.632887,Maize
SEEDGWAS3977,-31.2,-66.77,Maize
SEEDGWAS2198,-30.847071,-66.712883,Maize
SEEDGWAS2265,-30.847071,-66.712883,Maize
SEEDGWAS4842,-30.847071,-66.712883,Maize
SEEDGWAS3349,-30.847071,-66.712883,Maize
SEEDGWAS2494,-30.79075,-57.757907,Maize
SEEDGWAS516,-30.65,-58.02,Maize
SEEDGWAS3263,-30.574717,-64.375627,Maize
SEEDGWAS2196,-30.5,-66.26666667,Maize
SEEDGWAS3340,-30.397774,-64.137668,Maize
SEEDGWAS3855,-30.385271,-50.619718,Maize
SEEDGWAS3956,-30.385271,-50.619718,Maize
SEEDGWAS1581,-30.377406,-66.303177,Maize
