Accession,Latitude,Longitude,Species
SEEDGWAS4664,19.046412,-98.805501,Maize
SEEDGWAS3023,19.046412,-98.805501,Maize
SEEDGWAS5069,19.046412,-98.805501,Maize
SEEDGWAS2715,19.05,-98,Maize
SEEDGWAS4346,19.05,-98,Maize
SEEDGWAS2995,19.05,-99.95,Maize
SEEDGWAS4699,19.05,-99.95,Maize
SEEDGWAS730,19.052999,-72.470669,Maize
SEEDGWAS2700,19.06,-97.96,Maize
SEEDGWAS4324,19.06,-97.96,Maize
SEEDGWAS445,19.060025,-97.031108,Maize
SEEDGWAS5167,19.060025,-97.031108,Maize
SEEDGWAS2079,19.08164,-102.373599,Maize
SEEDGWAS4887,19.08164,-102.373599,Maize
SEEDGWAS1173,19.08164,-102.373599,Maize
SEEDGWAS1174,19.08164,-102.373599,Maize
SEEDGWAS1175,19.08164,-102.373599,Maize
SEEDGWAS1633,19.08164,-102.373599,Maize
SEEDGWAS1652,19.08164,-102.373599,Maize
SEEDGWAS1653,19.08164,-102.373599,Maize
SEEDGWAS2813,19.08333333,-98.28333333,Maize
SEEDGWAS4997,19.08333333,-98.28333333,Maize
SEEDGWAS2838,19.08333333,-98.28333333,Maize
SEEDGWAS5008,19.08333333,-98.28333333,Maize
SEEDGWAS4141,19.08333333,-97.03333333,Maize
SEEDGWAS1121,19.08333333,-97.03333333,Maize
SEEDGWAS2173,19.08333333,-97.03333333,Maize
SEEDGWAS4603,19.08333333,-97.03333333,Maize
SEEDGWAS2578,19.08333333,-97.03333333,Maize
SEEDGWAS4946,19.08333333,-97.03333333,Maize
SEEDGWAS1140,19.08333333,-97.03333333,Maize
SEEDGWAS2597,19.08333333,-97.03333333,Maize
SEEDGWAS4951,19.08333333,-97.03333333,Maize
SEEDGWAS4747,19.09,-98.87,Maize
SEEDGWAS3728,19.091228,-98.31206,Maize
SEEDGWAS3070,19.092571,-98.461609,Maize
SEEDGWAS4803,19.092571,-98.461609,Maize
SEEDGWAS2814,19.1,-98.3,Maize
SEEDGWAS4998,19.1,-98.3,Maize
SEEDGWAS711,19.11666667,-72.7,Maize
SEEDGWAS4581,19.11666667,-97.95,Maize
SEEDGWAS5270,19.11666667,-97.95,Maize
SEEDGWAS4703,19.11666667,-97.08333333,Maize
SEEDGWAS5328,19.11666667,-97.08333333,Maize
SEEDGWAS3767,19.11666667,-97.45,Maize
SEEDGWAS5152,19.11666667,-97.45,Maize
SEEDGWAS2605,19.11666667,-97.1,Maize
SEEDGWAS1145,19.11666667,-97.1,Maize
SEEDGWAS2977,19.12,-98.75,Maize
SEEDGWAS4669,19.12,-98.75,Maize
SEEDGWAS3148,19.12,-98.75,Maize
SEEDGWAS5124,19.12,-98.75,Maize
SEEDGWAS4560,19.128367,-98.457589,Maize
SEEDGWAS3021,19.13333333,-98.2,Maize
SEEDGWAS4744,19.13333333,-98.2,Maize
SEEDGWAS3096,19.13333333,-98.2,Maize
SEEDGWAS4835,19.13333333,-98.2,Maize
SEEDGWAS2820,19.15,-98.4,Maize
SEEDGWAS5002,19.15,-98.4,Maize
SEEDGWAS3714,19.15,-98.4,Maize
SEEDGWAS4470,19.15,-98.4,Maize
SEEDGWAS2831,19.15,-98.33333333,Maize
SEEDGWAS5004,19.15,-98.33333333,Maize
SEEDGWAS3753,19.15,-97.63333333,Maize
SEEDGWAS4647,19.15,-97.63333333,Maize
SEEDGWAS2985,19.15,-97.63333333,Maize
SEEDGWAS4684,19.15,-97.63333333,Maize
SEEDGWAS4690,19.15,-99.61666667,Maize
SEEDGWAS3125,19.155854,-98.846801,Maize
SEEDGWAS5110,19.155854,-98.846801,Maize
SEEDGWAS2932,19.165499,-98.775928,Maize
SEEDGWAS4609,19.165499,-98.775928,Maize
SEEDGWAS2699,19.16666667,-98.35,Maize
SEEDGWAS4967,19.16666667,-98.35,Maize
SEEDGWAS2822,19.16666667,-98.35,Maize
SEEDGWAS4472,19.16666667,-98.35,Maize
SEEDGWAS4552,19.16666667,-98.83333333,Maize
SEEDGWAS2963,19.16666667,-98.21666667,Maize
SEEDGWAS5053,19.16666667,-98.21666667,Maize
SEEDGWAS3043,19.16666667,-98.23333333,Maize
SEEDGWAS5079,19.16666667,-98.23333333,Maize
SEEDGWAS3062,19.16666667,-98.23333333,Maize
SEEDGWAS4786,19.16666667,-98.23333333,Maize
SEEDGWAS5368,19.16666667,-97.88333333,Maize
SEEDGWAS1171,19.183333,-102.833333,Maize
SEEDGWAS3161,19.1833333,-102.833333,Maize
SEEDGWAS976,19.1833333,-102.833333,Maize
SEEDGWAS985,19.1833333,-102.833333,Maize
SEEDGWAS3790,19.18333333,-102.8333333,Maize
SEEDGWAS3794,19.18333333,-102.8333333,Maize
SEEDGWAS1287,19.18333333,-70.5,Maize
SEEDGWAS824,19.18333333,-70.5,Maize
SEEDGWAS825,19.18333333,-70.5,Maize
SEEDGWAS1388,19.18333333,-70.5,Maize
SEEDGWAS1392,19.18333333,-70.5,Maize
SEEDGWAS1389,19.197019,-70.021015,Maize
SEEDGWAS2996,19.199446,-100.121334,Maize
SEEDGWAS4700,19.199446,-100.121334,Maize
SEEDGWAS751,19.2,-103.8,Maize
SEEDGWAS2818,19.2,-98.46666667,Maize
SEEDGWAS4468,19.2,-98.46666667,Maize
SEEDGWAS5010,19.2,-101.7,Maize
SEEDGWAS2846,19.2,-101.7,Maize
SEEDGWAS2999,19.2,-97.9,Maize
SEEDGWAS4702,19.2,-97.9,Maize
SEEDGWAS4267,19.2,-98.8,Maize
SEEDGWAS4825,19.2,-98.8,Maize
SEEDGWAS3099,19.2,-98.8,Maize
SEEDGWAS4837,19.2,-98.8,Maize
SEEDGWAS4838,19.2,-98.8,Maize
SEEDGWAS2881,19.211077,-98.865944,Maize
SEEDGWAS4533,19.211077,-98.865944,Maize
SEEDGWAS929,19.214565,-70.738483,Maize
SEEDGWAS2962,19.21666667,-98.23333333,Maize
SEEDGWAS4643,19.21666667,-98.23333333,Maize
SEEDGWAS2880,19.22,-98.85,Maize
SEEDGWAS4530,19.22,-98.85,Maize
SEEDGWAS3048,19.22,-98.85,Maize
SEEDGWAS5082,19.22,-98.85,Maize
SEEDGWAS644,19.23333333,-103.7166667,Maize
SEEDGWAS660,19.23333333,-103.7166667,Maize
SEEDGWAS2804,19.244746,-98.499901,Maize
SEEDGWAS4460,19.244746,-98.499901,Maize
SEEDGWAS4461,19.244746,-98.499901,Maize
SEEDGWAS2875,19.25,-98.88333333,Maize
SEEDGWAS5022,19.25,-98.88333333,Maize
SEEDGWAS2876,19.25,-98.88333333,Maize
SEEDGWAS4526,19.25,-98.88333333,Maize
SEEDGWAS4619,19.25,-97.76666667,Maize
SEEDGWAS2964,19.25,-98.3,Maize
SEEDGWAS5054,19.25,-98.3,Maize
SEEDGWAS2998,19.25,-98.23333333,Maize
SEEDGWAS5063,19.25,-98.23333333,Maize
SEEDGWAS3018,19.25,-98.3,Maize
SEEDGWAS5068,19.25,-98.3,Maize
SEEDGWAS3061,19.25,-98.88333333,Maize
SEEDGWAS5087,19.25,-98.88333333,Maize
SEEDGWAS3151,19.25,-98.88333333,Maize
SEEDGWAS4878,19.25,-98.88333333,Maize
SEEDGWAS4314,19.254898,-99.617446,Maize
SEEDGWAS2696,19.260089,-100.026879,Maize
SEEDGWAS4321,19.260089,-100.026879,Maize
SEEDGWAS220,19.266144,-70.266152,Maize
SEEDGWAS3080,19.26666667,-98.38333333,Maize
SEEDGWAS4816,19.26666667,-98.38333333,Maize
SEEDGWAS3710,19.268596,-98.523863,Maize
SEEDGWAS5140,19.268596,-98.523863,Maize
SEEDGWAS3711,19.268596,-98.523863,Maize
SEEDGWAS3712,19.268596,-98.523863,Maize
SEEDGWAS4464,19.268596,-98.523863,Maize
SEEDGWAS3168,19.27416667,-102.9836111,Maize
SEEDGWAS2107,19.274552,-103.796358,Maize
SEEDGWAS4377,19.274552,-103.796358,Maize
SEEDGWAS4459,19.28333333,-98.43333333,Maize
SEEDGWAS4463,19.28333333,-98.43333333,Maize
SEEDGWAS2847,19.28333333,-101.4833333,Maize
SEEDGWAS4501,19.28333333,-101.4833333,Maize
SEEDGWAS4315,19.286184,-99.570871,Maize
SEEDGWAS2479,19.290057,-100.441427,Maize
SEEDGWAS4740,19.295124,-98.227026,Maize
SEEDGWAS2899,19.3,-97.76666667,Maize
SEEDGWAS4563,19.3,-97.76666667,Maize
SEEDGWAS2872,19.309678,-98.876836,Maize
SEEDGWAS4524,19.309678,-98.876836,Maize
SEEDGWAS2874,19.309678,-98.876836,Maize
SEEDGWAS4525,19.309678,-98.876836,Maize
SEEDGWAS2966,19.31666667,-97.91666667,Maize
SEEDGWAS4646,19.31666667,-97.91666667,Maize
SEEDGWAS3039,19.31666667,-97.91666667,Maize
SEEDGWAS5076,19.31666667,-97.91666667,Maize
SEEDGWAS3783,19.321451,-98.255482,Maize
SEEDGWAS5157,19.321451,-98.255482,Maize
SEEDGWAS3176,19.325351,-103.586763,Maize
SEEDGWAS886,19.325525,-102.53255,Maize
SEEDGWAS3687,19.329278,-98.565183,Maize
SEEDGWAS4323,19.329278,-98.565183,Maize
SEEDGWAS2751,19.33333333,-101.4666667,Maize
SEEDGWAS4389,19.33333333,-101.4666667,Maize
SEEDGWAS2811,19.33333333,-98.56666667,Maize
SEEDGWAS4465,19.33333333,-98.56666667,Maize
SEEDGWAS2817,19.33333333,-98.48333333,Maize
SEEDGWAS3713,19.33333333,-98.48333333,Maize
SEEDGWAS4467,19.33333333,-98.48333333,Maize
SEEDGWAS2821,19.33333333,-98.56666667,Maize
SEEDGWAS4471,19.33333333,-98.56666667,Maize
SEEDGWAS2823,19.33333333,-98.48333333,Maize
SEEDGWAS4473,19.33333333,-98.48333333,Maize
SEEDGWAS2824,19.33333333,-98.48333333,Maize
SEEDGWAS4474,19.33333333,-98.56666667,Maize
SEEDGWAS2825,19.33333333,-98.56666667,Maize
SEEDGWAS4475,19.33333333,-98.56666667,Maize
SEEDGWAS3715,19.33333333,-98.56666667,Maize
SEEDGWAS5141,19.33333333,-98.56666667,Maize
SEEDGWAS960,19.33333333,-103.7333333,Maize
SEEDGWAS14,19.344444,-96.354444,Maize
SEEDGWAS2755,19.35,-97.15,Maize
SEEDGWAS4978,19.35,-97.15,Maize
SEEDGWAS2756,19.35,-97.15,Maize
SEEDGWAS4394,19.35,-97.15,Maize
SEEDGWAS2910,19.35,-98.1,Maize
SEEDGWAS4579,19.35,-98.1,Maize
SEEDGWAS2912,19.35,-98.16666667,Maize
SEEDGWAS4580,19.35,-98.16666667,Maize
SEEDGWAS5271,19.35,-97.15,Maize
SEEDGWAS3600,19.35,-97.11666667,Maize
SEEDGWAS2511,19.35,-97.11666667,Maize
SEEDGWAS5285,19.35,-97.11666667,Maize
SEEDGWAS5090,19.35,-98.1,Maize
SEEDGWAS2893,19.350685,-97.445161,Maize
SEEDGWAS4548,19.350685,-97.445161,Maize
SEEDGWAS1391,19.354584,-70.488525,Maize
SEEDGWAS3758,19.366031,-97.613864,Maize
SEEDGWAS5151,19.366031,-97.613864,Maize
SEEDGWAS71,19.36666667,-96.41666667,Maize
SEEDGWAS1034,19.38333333,-96.96666667,Maize
SEEDGWAS931,19.385732,-70.712672,Maize
SEEDGWAS919,19.38583,-70.639142,Maize
SEEDGWAS4667,19.4,-99.55,Maize
SEEDGWAS3090,19.41,-99.32,Maize
SEEDGWAS5100,19.41,-99.32,Maize
SEEDGWAS4318,19.412596,-100.121224,Maize
SEEDGWAS2334,19.41666667,-103.5333333,Maize
SEEDGWAS2750,19.41666667,-101.5333333,Maize
SEEDGWAS4976,19.41666667,-101.5333333,Maize
SEEDGWAS2480,19.41666667,-102.4,Maize
SEEDGWAS4497,19.41666667,-102.4,Maize
SEEDGWAS2871,19.41666667,-98.88333333,Maize
SEEDGWAS4521,19.41666667,-98.88333333,Maize
SEEDGWAS3722,19.41666667,-98.93333333,Maize
SEEDGWAS5144,19.41666667,-98.93333333,Maize
SEEDGWAS4522,19.41666667,-98.93333333,Maize
SEEDGWAS4523,19.41666667,-98.93333333,Maize
SEEDGWAS4773,19.41666667,-98.18333333,Maize
SEEDGWAS927,19.420826,-70.609403,Maize
SEEDGWAS223,19.423437,-70.606485,Maize
SEEDGWAS4327,19.43333333,-100.3833333,Maize
SEEDGWAS2898,19.43333333,-98.11666667,Maize
SEEDGWAS4561,19.43333333,-98.11666667,Maize
SEEDGWAS3737,19.43333333,-98.11666667,Maize
SEEDGWAS4578,19.43333333,-98.11666667,Maize
SEEDGWAS2911,19.43333333,-98.11666667,Maize
SEEDGWAS5030,19.43333333,-98.11666667,Maize
SEEDGWAS923,19.437646,-70.74942,Maize
SEEDGWAS928,19.443545,-70.777325,Maize
SEEDGWAS958,19.443545,-70.777325,Maize
SEEDGWAS4696,19.46666667,-98.33333333,Maize
SEEDGWAS920,19.469084,-102.06122,Maize
SEEDGWAS755,19.475726,-96.563924,Maize
SEEDGWAS3736,19.479844,-97.500186,Maize
SEEDGWAS5146,19.479844,-97.500186,Maize
SEEDGWAS3745,19.479844,-97.500186,Maize
SEEDGWAS5148,19.479844,-97.500186,Maize
SEEDGWAS3757,19.479844,-97.500186,Maize
SEEDGWAS5150,19.479844,-97.500186,Maize
SEEDGWAS2989,19.479844,-97.500186,Maize
SEEDGWAS5060,19.479844,-97.500186,Maize
SEEDGWAS5062,19.479844,-97.500186,Maize
SEEDGWAS589,19.5,-101.8666667,Maize
SEEDGWAS1381,19.507351,-72.341009,Maize
SEEDGWAS959,19.50904,-70.724332,Maize
SEEDGWAS216,19.51,-72.35,Maize
SEEDGWAS3735,19.51666667,-101.6166667,Maize
SEEDGWAS2890,19.518555,-101.219653,Maize
SEEDGWAS5024,19.518555,-101.219653,Maize
SEEDGWAS2853,19.521431,-98.857468,Maize
SEEDGWAS4511,19.521431,-98.857468,Maize
SEEDGWAS2854,19.521431,-98.857468,Maize
SEEDGWAS4512,19.521431,-98.857468,Maize
SEEDGWAS2855,19.521431,-98.857468,Maize
SEEDGWAS4513,19.521431,-98.857468,Maize
SEEDGWAS2856,19.521431,-98.857468,Maize
SEEDGWAS2857,19.521431,-98.857468,Maize
SEEDGWAS4514,19.521431,-98.857468,Maize
SEEDGWAS2858,19.521431,-98.857468,Maize
SEEDGWAS4515,19.521431,-98.857468,Maize
SEEDGWAS2859,19.521431,-98.857468,Maize
SEEDGWAS4516,19.521431,-98.857468,Maize
SEEDGWAS2860,19.521431,-98.857468,Maize
SEEDGWAS5014,19.521431,-98.857468,Maize
SEEDGWAS5023,19.521431,-98.857468,Maize
SEEDGWAS2955,19.521431,-98.857468,Maize
SEEDGWAS5050,19.521431,-98.857468,Maize
SEEDGWAS4821,19.535565,-97.431546,Maize
SEEDGWAS4337,19.539917,-97.251249,Maize
SEEDGWAS1241,19.544,-72.699224,Maize
SEEDGWAS815,19.544,-72.699224,Maize
SEEDGWAS2867,19.55,-98.91666667,Maize
SEEDGWAS5018,19.55,-98.91666667,Maize
SEEDGWAS3718,19.552262,-98.928459,Maize
SEEDGWAS5143,19.552262,-98.928459,Maize
SEEDGWAS2490,19.55706,-103.814756,Maize
SEEDGWAS4933,19.55706,-103.814756,Maize
SEEDGWAS4527,19.56,-99.76,Maize
SEEDGWAS2877,19.56,-99.76,Maize
SEEDGWAS4528,19.56,-99.76,Maize
SEEDGWAS4529,19.56,-99.76,Maize
SEEDGWAS3411,19.560285,-103.371121,Maize
SEEDGWAS817,19.565256,-72.500407,Maize
SEEDGWAS2754,19.56666667,-97.25,Maize
SEEDGWAS4393,19.56666667,-97.25,Maize
SEEDGWAS4645,19.567345,-98.513073,Maize
SEEDGWAS5055,19.567345,-98.513073,Maize
SEEDGWAS2990,19.567345,-98.513073,Maize
SEEDGWAS5061,19.567345,-98.513073,Maize
SEEDGWAS3060,19.567345,-98.513073,Maize
SEEDGWAS4785,19.567345,-98.513073,Maize
SEEDGWAS5039,19.572939,-98.882179,Maize
SEEDGWAS3724,19.578317,-98.583348,Maize
SEEDGWAS4538,19.578317,-98.583348,Maize
SEEDGWAS3725,19.578317,-98.583348,Maize
SEEDGWAS4539,19.578317,-98.583348,Maize
SEEDGWAS3078,19.578317,-98.583348,Maize
SEEDGWAS4815,19.578317,-98.583348,Maize
SEEDGWAS4836,19.578317,-98.583348,Maize
SEEDGWAS4611,19.583333,-97.6,Maize
SEEDGWAS3762,19.583333,-97.6,Maize
SEEDGWAS4706,19.583333,-97.6,Maize
SEEDGWAS2426,19.58333333,-102.4666667,Maize
SEEDGWAS4391,19.58333333,-102.4666667,Maize
SEEDGWAS2482,19.58333333,-102.4666667,Maize
SEEDGWAS4499,19.58333333,-102.4666667,Maize
SEEDGWAS2868,19.58333333,-99.03333333,Maize
SEEDGWAS5019,19.58333333,-99.03333333,Maize
SEEDGWAS5020,19.58333333,-99.03333333,Maize
SEEDGWAS3723,19.58333333,-98.81666667,Maize
SEEDGWAS4531,19.58333333,-98.81666667,Maize
SEEDGWAS4532,19.58333333,-98.81666667,Maize
SEEDGWAS2882,19.58333333,-98.81666667,Maize
SEEDGWAS4534,19.58333333,-98.81666667,Maize
SEEDGWAS2883,19.58333333,-98.81666667,Maize
SEEDGWAS4535,19.58333333,-98.81666667,Maize
SEEDGWAS2884,19.58333333,-98.81666667,Maize
SEEDGWAS458,19.58333333,-88.05,Maize
SEEDGWAS1009,19.58333333,-88.05,Maize
SEEDGWAS480,19.58333333,-88.05,Maize
SEEDGWAS483,19.58333333,-88.05,Maize
SEEDGWAS1032,19.58333333,-88.05,Maize
SEEDGWAS506,19.58333333,-88.05,Maize
SEEDGWAS509,19.58333333,-88.05,Maize
SEEDGWAS5125,19.58333333,-98.81666667,Maize
SEEDGWAS4392,19.584345,-101.726026,Maize
SEEDGWAS4644,19.606107,-98.118071,Maize
SEEDGWAS3047,19.606107,-98.118071,Maize
SEEDGWAS5081,19.606107,-98.118071,Maize
SEEDGWAS5101,19.607411,-98.894349,Maize
SEEDGWAS4974,19.61666667,-97.08333333,Maize
SEEDGWAS2757,19.61666667,-97.08333333,Maize
SEEDGWAS4395,19.61666667,-97.08333333,Maize
SEEDGWAS4649,19.61666667,-97.08333333,Maize
SEEDGWAS5311,19.61666667,-97.08333333,Maize
SEEDGWAS528,19.62,-89,Maize
SEEDGWAS2691,19.621178,-99.152393,Maize
SEEDGWAS4317,19.621178,-99.152393,Maize
SEEDGWAS4518,19.622791,-98.914614,Maize
SEEDGWAS2862,19.622791,-98.914614,Maize
SEEDGWAS5015,19.622791,-98.914614,Maize
SEEDGWAS2863,19.622791,-98.914614,Maize
SEEDGWAS5016,19.622791,-98.914614,Maize
SEEDGWAS2864,19.622791,-98.914614,Maize
SEEDGWAS5017,19.622791,-98.914614,Maize
SEEDGWAS4519,19.622791,-98.914614,Maize
SEEDGWAS4620,19.622791,-98.914614,Maize
SEEDGWAS2943,19.622791,-98.914614,Maize
SEEDGWAS5044,19.622791,-98.914614,Maize
SEEDGWAS2976,19.622791,-98.914614,Maize
SEEDGWAS4668,19.622791,-98.914614,Maize
SEEDGWAS2984,19.63,-97.08,Maize
SEEDGWAS2746,19.634386,-102.503967,Maize
SEEDGWAS4040,19.635915,-102.500515,Maize
SEEDGWAS4041,19.635915,-102.500515,Maize
SEEDGWAS4051,19.635915,-102.500515,Maize
SEEDGWAS768,19.646842,-70.013422,Maize
SEEDGWAS2925,19.65,-97.21666667,Maize
SEEDGWAS4598,19.65,-97.21666667,Maize
SEEDGWAS4650,19.65,-97.21666667,Maize
SEEDGWAS3596,19.650273,-103.727387,Maize
SEEDGWAS4326,19.652002,-100.593265,Maize
SEEDGWAS2749,19.652464,-101.255262,Maize
SEEDGWAS4975,19.652464,-101.255262,Maize
SEEDGWAS4503,19.652464,-101.255262,Maize
SEEDGWAS2940,19.652634,-98.898542,Maize
SEEDGWAS5042,19.652634,-98.898542,Maize
SEEDGWAS816,19.663248,-72.678269,Maize
SEEDGWAS826,19.663433,-69.952097,Maize
SEEDGWAS2889,19.66666667,-101.9166667,Maize
SEEDGWAS4545,19.66666667,-101.9166667,Maize
SEEDGWAS2152,19.66666667,-96.86666667,Maize
SEEDGWAS4801,19.66666667,-98.53333333,Maize
SEEDGWAS3969,19.67,-104.3,Maize
SEEDGWAS502,19.670577,-89.080905,Maize
SEEDGWAS503,19.670577,-89.080905,Maize
SEEDGWAS504,19.670577,-89.080905,Maize
SEEDGWAS1390,19.677604,-70.382798,Maize
SEEDGWAS3126,19.677872,-99.166836,Maize
SEEDGWAS5111,19.677872,-99.166836,Maize
SEEDGWAS4665,19.678005,-99.266942,Maize
SEEDGWAS3296,19.678131,-96.921297,Maize
SEEDGWAS3775,19.678903,-101.262774,Maize
SEEDGWAS3777,19.678903,-101.262774,Maize
SEEDGWAS2747,19.691693,-101.082409,Maize
SEEDGWAS4387,19.691693,-101.082409,Maize
SEEDGWAS2748,19.691693,-101.082409,Maize
SEEDGWAS4388,19.691693,-101.082409,Maize
SEEDGWAS1715,19.697393,-104.612035,Maize
SEEDGWAS1716,19.697393,-104.612035,Maize
SEEDGWAS421,19.7,-96.83333333,Maize
SEEDGWAS4582,19.7,-96.83333333,Maize
SEEDGWAS4583,19.7,-96.83333333,Maize
SEEDGWAS4797,19.716303,-103.497012,Maize
SEEDGWAS5355,19.716303,-103.497012,Maize
SEEDGWAS4319,19.71666667,-99.93333333,Maize
SEEDGWAS2481,19.71666667,-102.5166667,Maize
SEEDGWAS4498,19.71666667,-102.5166667,Maize
SEEDGWAS3721,19.71666667,-98.73333333,Maize
SEEDGWAS4517,19.71666667,-98.73333333,Maize
SEEDGWAS4593,19.71666667,-98.41666667,Maize
SEEDGWAS4607,19.71666667,-98.41666667,Maize
SEEDGWAS2956,19.71666667,-99.93333333,Maize
SEEDGWAS4639,19.71666667,-99.93333333,Maize
SEEDGWAS3075,19.71666667,-98.96666667,Maize
SEEDGWAS4812,19.71666667,-98.96666667,Maize
SEEDGWAS3079,19.71666667,-98.96666667,Maize
SEEDGWAS5093,19.71666667,-98.96666667,Maize
SEEDGWAS3088,19.71666667,-98.96666667,Maize
SEEDGWAS5099,19.71666667,-98.96666667,Maize
SEEDGWAS1673,19.716788,-90.046207,Maize
SEEDGWAS4800,19.72,-98.42,Maize
SEEDGWAS3152,19.72,-98.42,Maize
SEEDGWAS4879,19.72,-98.42,Maize
SEEDGWAS3774,19.723377,-101.261646,Maize
SEEDGWAS484,19.733291,-88.710054,Maize
SEEDGWAS4322,19.73333333,-99.23333333,Maize
SEEDGWAS4919,19.73333333,-99.58333333,Maize
SEEDGWAS5206,19.73333333,-99.58333333,Maize
SEEDGWAS4057,19.73333333,-99.58333333,Maize
SEEDGWAS4550,19.73333333,-99.23333333,Maize
SEEDGWAS3742,19.73333333,-99.23333333,Maize
SEEDGWAS4610,19.73333333,-99.23333333,Maize
SEEDGWAS2938,19.73333333,-99.23333333,Maize
SEEDGWAS5041,19.73333333,-99.23333333,Maize
SEEDGWAS2941,19.73333333,-98.73333333,Maize
SEEDGWAS5043,19.73333333,-98.73333333,Maize
SEEDGWAS2945,19.73333333,-99.23333333,Maize
SEEDGWAS5045,19.73333333,-99.23333333,Maize
SEEDGWAS2951,19.73333333,-98.73333333,Maize
SEEDGWAS5049,19.73333333,-98.73333333,Maize
SEEDGWAS5051,19.73333333,-99.23333333,Maize
SEEDGWAS2256,19.73333333,-96.85,Maize
SEEDGWAS492,19.73333333,-96.85,Maize
SEEDGWAS5172,19.73333333,-96.85,Maize
SEEDGWAS510,19.73333333,-96.85,Maize
SEEDGWAS5173,19.73333333,-96.85,Maize
SEEDGWAS507,19.733923,-88.710606,Maize
SEEDGWAS2682,19.735479,-103.462153,Maize
SEEDGWAS92,19.736877,-70.928539,Maize
SEEDGWAS2939,19.73749,-99.21872,Maize
SEEDGWAS4618,19.73749,-99.21872,Maize
SEEDGWAS694,19.742201,-89.966607,Maize
SEEDGWAS222,19.743912,-70.874286,Maize
SEEDGWAS693,19.744273,-89.82814,Maize
SEEDGWAS104,19.744273,-89.82814,Maize
SEEDGWAS1674,19.746176,-90.12082,Maize
SEEDGWAS2703,19.75,-102.4833333,Maize
SEEDGWAS4783,19.75,-97.55,Maize
SEEDGWAS3093,19.75,-101,Maize
SEEDGWAS2901,19.757512,-104.186409,Maize
SEEDGWAS2952,19.760847,-98.991083,Maize
SEEDGWAS4635,19.760847,-98.991083,Maize
SEEDGWAS4363,19.761657,-97.231739,Maize
SEEDGWAS2729,19.761657,-97.231739,Maize
SEEDGWAS4972,19.761657,-97.231739,Maize
SEEDGWAS2926,19.761657,-97.231739,Maize
SEEDGWAS4600,19.761657,-97.231739,Maize
SEEDGWAS1755,19.76666667,-104.35,Maize
SEEDGWAS1756,19.76666667,-104.35,Maize
SEEDGWAS2384,19.76666667,-104.35,Maize
SEEDGWAS4599,19.76666667,-97.25,Maize
SEEDGWAS2954,19.76666667,-99.1,Maize
SEEDGWAS4638,19.76666667,-99.1,Maize
SEEDGWAS4640,19.76666667,-99.2,Maize
SEEDGWAS2968,19.76666667,-97.25,Maize
SEEDGWAS4651,19.76666667,-97.25,Maize
SEEDGWAS3053,19.76666667,-97.25,Maize
SEEDGWAS4776,19.76666667,-97.25,Maize
SEEDGWAS4777,19.76666667,-97.25,Maize
SEEDGWAS3063,19.76666667,-97.25,Maize
SEEDGWAS4789,19.76666667,-97.25,Maize
SEEDGWAS3065,19.76666667,-97.25,Maize
SEEDGWAS5088,19.76666667,-97.25,Maize
SEEDGWAS3087,19.76666667,-97.25,Maize
SEEDGWAS5098,19.76666667,-97.25,Maize
SEEDGWAS115,19.766667,-90.233333,Maize
SEEDGWAS1188,19.772796,-104.344955,Maize
SEEDGWAS2704,19.779325,-101.170589,Maize
SEEDGWAS4329,19.779325,-101.170589,Maize
SEEDGWAS113,19.78333333,-90.61666667,Maize
SEEDGWAS2916,19.78333333,-97.23333333,Maize
SEEDGWAS5034,19.78333333,-97.23333333,Maize
SEEDGWAS3971,19.788354,-104.188019,Maize
SEEDGWAS5105,19.796015,-103.680049,Maize
SEEDGWAS5192,19.8,-104.2,Maize
SEEDGWAS3388,19.8,-104.2,Maize
SEEDGWAS2365,19.8,-101.7833333,Maize
SEEDGWAS4362,19.8,-101.7833333,Maize
SEEDGWAS3611,19.8,-104.2,Maize
SEEDGWAS2178,19.8,-97.3,Maize
SEEDGWAS4652,19.8,-97.3,Maize
SEEDGWAS446,19.8,-97.3,Maize
SEEDGWAS4672,19.8,-97.3,Maize
SEEDGWAS4857,19.800829,-103.478064,Maize
SEEDGWAS3119,19.800829,-103.478064,Maize
SEEDGWAS4862,19.800829,-103.478064,Maize
SEEDGWAS3100,19.809646,-100.906572,Maize
SEEDGWAS4866,19.811139,-103.484225,Maize
SEEDGWAS2909,19.812923,-97.381224,Maize
SEEDGWAS5029,19.812923,-97.381224,Maize
SEEDGWAS4770,19.812923,-97.381224,Maize
SEEDGWAS469,19.812923,-97.381224,Maize
SEEDGWAS4778,19.812923,-97.381224,Maize
SEEDGWAS4782,19.812923,-97.381224,Maize
SEEDGWAS471,19.812923,-97.381224,Maize
SEEDGWAS4791,19.812923,-97.381224,Maize
SEEDGWAS3077,19.812923,-97.381224,Maize
SEEDGWAS4814,19.812923,-97.381224,Maize
SEEDGWAS3102,19.812923,-97.381224,Maize
SEEDGWAS4840,19.812923,-97.381224,Maize
SEEDGWAS2827,19.81666667,-97.78333333,Maize
SEEDGWAS4477,19.81666667,-97.78333333,Maize
SEEDGWAS2828,19.81666667,-97.78333333,Maize
SEEDGWAS5003,19.81666667,-97.78333333,Maize
SEEDGWAS3717,19.81666667,-99.11666667,Maize
SEEDGWAS5142,19.81666667,-99.11666667,Maize
SEEDGWAS4520,19.81666667,-99.11666667,Maize
SEEDGWAS2953,19.81666667,-98.88333333,Maize
